Year,Products,CPI,Minimum Wage,CPI-Wage Gap
2000,"Alcoholic beverages, tobacco products and recreational cannabis",79.0,6.1625,72.8375
2000,Clothing and footwear,100.33333333333333,6.1625,94.17083333333333
2000,Energy 7,98.825,6.1625,92.66250000000001
2000,Food 5,93.29166666666667,6.1625,87.12916666666668
2000,Gasoline,103.49166666666667,6.1625,97.32916666666668
2000,Goods 8,96.00833333333333,6.1625,89.84583333333333
2000,Health and personal care,96.97500000000001,6.1625,90.81250000000001
2000,"Household operations, furnishings and equipment",96.7,6.1625,90.53750000000001
2000,"Recreation, education and reading",96.97500000000001,6.1625,90.81250000000001
2000,Services 9,94.75,6.1625,88.5875
2000,Shelter 6,95.60833333333333,6.1625,89.44583333333334
2000,Transportation,97.24166666666667,6.1625,91.07916666666668
2001,"Alcoholic beverages, tobacco products and recreational cannabis",85.04166666666667,6.458333333333333,78.58333333333334
2001,Clothing and footwear,100.73333333333333,6.458333333333333,94.275
2001,Energy 7,102.02499999999999,6.458333333333333,95.56666666666666
2001,Food 5,97.375,6.458333333333333,90.91666666666667
2001,Gasoline,100.81666666666666,6.458333333333333,94.35833333333333
2001,Goods 8,98.425,6.458333333333333,91.96666666666667
2001,Health and personal care,98.925,6.458333333333333,92.46666666666667
2001,"Household operations, furnishings and equipment",98.59166666666665,6.458333333333333,92.13333333333333
2001,"Recreation, education and reading",98.39166666666667,6.458333333333333,91.93333333333334
2001,Services 9,97.13333333333333,6.458333333333333,90.675
2001,Shelter 6,99.075,6.458333333333333,92.61666666666667
2001,Transportation,97.25833333333333,6.458333333333333,90.8
2002,"Alcoholic beverages, tobacco products and recreational cannabis",100.00833333333333,6.272222222222222,93.7361111111111
2002,Clothing and footwear,100.0,6.272222222222222,93.72777777777777
2002,Energy 7,100.00833333333333,6.272222222222222,93.7361111111111
2002,Food 5,100.0,6.272222222222222,93.72777777777777
2002,Gasoline,100.00833333333333,6.272222222222222,93.7361111111111
2002,Goods 8,100.0,6.272222222222222,93.72777777777777
2002,Health and personal care,99.99166666666667,6.272222222222222,93.71944444444445
2002,"Household operations, furnishings and equipment",100.0,6.272222222222222,93.72777777777777
2002,"Recreation, education and reading",100.00833333333333,6.272222222222222,93.7361111111111
2002,Services 9,100.0,6.272222222222222,93.72777777777777
2002,Shelter 6,99.99166666666667,6.272222222222222,93.71944444444445
2002,Transportation,100.0,6.272222222222222,93.72777777777777
2003,"Alcoholic beverages, tobacco products and recreational cannabis",110.05833333333334,7.216666666666666,102.84166666666667
2003,Clothing and footwear,98.19166666666666,7.216666666666666,90.975
2003,Energy 7,107.89166666666667,7.216666666666666,100.675
2003,Food 5,101.73333333333333,7.216666666666666,94.51666666666667
2003,Gasoline,106.41666666666667,7.216666666666666,99.2
2003,Goods 8,101.925,7.216666666666666,94.70833333333333
2003,Health and personal care,101.35833333333333,7.216666666666666,94.14166666666667
2003,"Household operations, furnishings and equipment",100.74166666666666,7.216666666666666,93.52499999999999
2003,"Recreation, education and reading",100.75833333333333,7.216666666666666,93.54166666666666
2003,Services 9,103.56666666666666,7.216666666666666,96.35
2003,Shelter 6,103.24166666666667,7.216666666666666,96.025
2003,Transportation,105.19166666666666,7.216666666666666,97.975
